Name,BaseSalary,HRPercent,TRPercent,OtherPercent,PFPercent,ITPercent
Sarah Doe,41668,15,19,14,9,5
Alex Smith,94064,15,16,11,8,4
David Wilson,62940,10,20,14,15,7
Alex Brown,77778,16,15,14,10,7
Jane Johnson,95539,20,20,5,11,4
Jane Smith,46850,21,13,13,13,3
John Johnson,104978,13,18,8,10,7
Emily Wilson,58143,17,20,5,8,4
Michael Jones,42154,23,16,6,15,7
Sarah Wilson,49500,23,13,11,14,8
Emily Smith,60237,20,18,9,12,5
Sarah Smith,56944,15,13,6,12,8
Michael Miller,63425,16,15,11,11,3
Michael Williams,105133,10,20,12,8,4
Anna Davis,113433,21,17,15,11,5
Alex Doe,110645,25,16,7,13,6
Alex Miller,41492,15,11,8,13,5
Jane Smith,68548,20,16,14,9,5
Emily Smith,114616,12,20,9,12,7
Michael Wilson,58857,21,16,14,13,8
Sarah Smith,57523,12,12,8,8,4
Sarah Miller,87062,15,17,5,11,8
Alex Wilson,100201,25,20,9,11,7
Sarah Miller,69767,17,10,6,13,4
David Doe,103743,24,11,11,9,5
Emily Taylor,104056,10,12,5,12,3
Chris Miller,42777,16,11,9,8,5
Emily Williams,88238,10,12,14,9,6
Emily Wilson,94331,10,16,12,13,8
Laura Miller,109840,17,20,5,8,5
Laura Taylor,118407,20,15,8,10,7
Laura Brown,94401,24,13,9,8,8
Michael Wilson,47720,14,12,6,8,6
Sarah Miller,116431,12,11,9,10,8
Jane Williams,90591,14,11,8,14,8
Emily Smith,61662,18,11,7,8,7
John Johnson,67750,17,13,14,8,3
Anna Brown,78566,15,11,6,12,8
John Taylor,73070,17,10,7,8,4
Laura Williams,49081,21,15,14,11,5
Alex Smith,48244,25,17,9,11,5
Laura Brown,81169,19,11,15,11,7
Sarah Brown,42451,13,13,15,10,8
Alex Smith,69144,25,12,11,13,4
Alex Jones,106022,17,17,13,15,7
Jane Miller,63229,19,14,11,13,5
David Taylor,42030,21,15,8,12,5
Michael Johnson,90037,17,16,7,11,3
Sarah Brown,109730,16,15,15,8,3
Anna Smith,73754,12,13,9,10,8
Laura Smith,100412,25,18,12,11,8
Jane Williams,67155,14,19,11,13,5
Chris Davis,41326,19,13,13,12,4
Sarah Jones,97228,20,14,15,15,5
Alex Miller,79379,20,13,13,13,5
Laura Miller,41502,18,17,10,10,7
Laura Miller,104870,24,13,8,10,4
Jane Taylor,105252,16,11,14,14,3
Sarah Brown,87662,13,16,12,12,6
Anna Miller,110850,24,19,13,14,4
Chris Brown,40457,19,19,8,13,8
John Davis,119086,21,16,8,13,7
John Jones,51801,12,12,9,15,6
Emily Smith,47167,10,11,7,12,3
Michael Johnson,88297,15,18,10,12,5
Emily Johnson,54946,24,18,6,13,7
Chris Doe,49730,10,16,6,11,7
Alex Smith,66178,14,16,6,14,3
Chris Taylor,97560,16,20,8,11,3
Anna Davis,116132,19,20,9,15,7
Laura Wilson,47049,21,11,12,9,6
Anna Miller,87898,17,13,7,11,3
Emily Wilson,119164,23,16,11,8,6
Michael Williams,44707,10,16,12,8,4
Chris Miller,109152,14,12,5,14,8
David Smith,102380,10,13,15,11,6
Anna Taylor,41267,10,16,5,9,3
Anna Williams,60038,23,16,7,9,8
Sarah Wilson,57570,16,19,15,13,6
Alex Smith,99523,20,14,15,12,7
David Davis,110279,24,11,15,13,4
Jane Taylor,103742,22,13,7,11,6
Michael Johnson,42616,16,16,7,8,4
Sarah Johnson,92446,15,14,13,9,3
Laura Johnson,92155,12,20,12,14,7
Emily Miller,91746,14,13,6,14,4
Laura Johnson,110828,10,12,13,13,8
David Davis,112071,24,20,10,11,5
Emily Davis,52950,14,11,13,11,7
Anna Williams,87218,23,12,15,13,5
Jane Doe,40600,24,13,9,12,3
Michael Johnson,72150,16,16,7,14,6
Sarah Brown,52158,20,20,11,11,6
Jane Brown,82444,19,15,12,11,3
Laura Doe,57885,22,14,14,8,6
Sarah Brown,86129,18,10,7,8,7
Jane Taylor,71801,18,14,14,11,3
David Miller,43016,21,13,14,11,5
Emily Miller,74258,18,18,8,8,5
Anna Miller,54882,10,10,6,8,4
Alex Brown,100712,25,17,12,14,4
Anna Williams,104410,24,17,7,11,4
Alex Davis,106927,17,15,7,8,3
Anna Brown,73152,20,11,12,8,8
Anna Miller,118613,24,20,12,15,8
Emily Jones,62143,25,15,14,12,6
Jane Miller,102776,24,20,10,14,3
Anna Brown,48496,12,18,10,13,7
Emily Jones,43721,12,13,10,11,4
Sarah Miller,88807,18,13,12,14,4
Jane Johnson,83133,25,20,7,10,8
Laura Jones,61678,16,18,14,15,4
David Davis,110748,16,18,14,14,7
Anna Johnson,55678,22,12,13,13,8
Sarah Johnson,111506,24,16,10,14,8
David Wilson,68658,13,20,9,12,3
Sarah Davis,103784,12,14,8,15,6
Anna Davis,63137,11,17,6,9,3
Chris Davis,114760,16,13,5,8,5
Anna Brown,49287,12,14,6,9,7
Alex Wilson,91612,20,16,7,8,3
David Taylor,118646,22,14,5,12,8
Chris Doe,116179,24,19,8,12,4
David Davis,44328,25,19,14,13,3
David Johnson,117236,22,12,9,8,3
Emily Smith,115713,24,14,10,11,7
Sarah Miller,79452,10,18,11,13,5
Jane Doe,64516,25,11,9,14,7
John Doe,45547,16,18,12,9,6
Emily Jones,87954,14,16,5,10,5
Jane Johnson,50520,15,16,15,9,3
Alex Wilson,89065,23,20,11,12,8
John Davis,101933,15,10,10,15,6
Michael Taylor,102532,13,11,7,12,6
David Miller,119590,19,19,12,13,6
Michael Taylor,47774,15,17,15,8,8
Anna Wilson,100758,12,19,7,12,4
Chris Jones,65750,13,10,5,10,3
Jane Jones,46929,25,14,9,10,3
John Davis,111244,23,17,5,12,6
Alex Williams,42340,13,16,9,10,6
Alex Wilson,112372,12,16,8,15,8
Alex Davis,94450,15,13,8,9,5
Anna Brown,85393,14,11,13,12,4
Jane Miller,89923,11,13,11,12,3
Laura Doe,104623,23,17,8,11,5
Laura Williams,119437,11,19,9,12,5
Sarah Smith,94746,13,20,15,10,4
Chris Taylor,56611,20,15,6,12,4
David Wilson,73168,10,14,7,12,6
Sarah Wilson,111594,12,18,11,8,5
Emily Doe,111130,19,14,12,15,6
Alex Wilson,109957,25,12,9,14,3
Sarah Wilson,88762,19,13,6,15,6
John Jones,44646,18,16,12,15,5
Chris Davis,46361,22,15,8,8,7
Sarah Miller,107791,15,20,11,15,5
Laura Miller,84387,19,18,13,13,5
Jane Brown,96124,20,19,15,15,8
Jane Miller,108264,10,18,14,14,5
Chris Taylor,79552,24,18,15,10,7
Alex Doe,91468,15,20,9,8,7
Michael Taylor,50379,23,20,9,8,5
Michael Taylor,110616,13,10,12,10,3
Chris Wilson,85281,22,16,10,12,3
Anna Brown,83699,17,14,8,10,5
Laura Wilson,87313,18,17,5,9,3
Anna Wilson,76562,16,20,13,13,4
Anna Johnson,119605,15,10,10,8,3
Alex Wilson,58590,23,17,13,10,6
John Jones,74337,22,12,14,11,7
Jane Doe,52030,23,15,12,11,4
Chris Jones,87409,10,18,10,8,6
David Wilson,92266,20,15,9,12,8
Anna Smith,43801,13,12,13,9,8
Emily Williams,67554,16,16,11,14,6
Emily Taylor,98795,18,20,5,10,8
Chris Williams,111680,14,19,10,11,8
Michael Davis,108089,24,18,7,9,7
John Jones,113133,19,15,6,15,7
Michael Doe,103886,25,13,14,8,8
Alex Davis,60316,13,19,12,11,6
Michael Williams,69731,18,16,15,15,3
Alex Brown,50652,14,15,9,13,6
Laura Davis,47900,12,14,10,14,7
Michael Williams,52738,23,15,13,12,8
David Davis,61310,25,19,9,11,7
Sarah Wilson,40569,21,13,14,15,6
Sarah Johnson,102080,19,17,5,10,7
Michael Doe,50948,22,14,11,14,4
Anna Brown,50471,19,11,11,13,8
Laura Johnson,76693,20,17,9,15,8
Jane Williams,69471,25,14,6,11,8
John Doe,115575,12,20,6,15,5
Michael Johnson,95217,14,16,5,10,6
Alex Doe,94263,13,10,7,10,8
Emily Wilson,109675,20,15,11,12,4
David Johnson,83864,19,11,7,9,7
David Jones,73637,24,16,6,11,6
John Wilson,101193,16,20,14,9,7
Emily Taylor,118437,13,13,6,13,5
Anna Johnson,47727,20,17,9,15,4
Alex Brown,116947,19,20,8,12,4
Michael Jones,101570,10,12,10,10,3
Alex Williams,95552,11,12,10,12,6
Sarah Davis,106616,23,13,9,14,4
Emily Brown,115130,14,12,15,12,7
